"Fall 2025"
"Generated 2/27/2025, 2:04:38 PM"
,"CLSS ID","SIS ID","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Wait Total","Rm Cap Request","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Rm Cap Request","Link To","Comments","Notes#1","Notes#2"
"CONE 206 - ENGINEERING ECONOMICS"
,"3220","12722","Fall 2025","1258","UNO-CONSYS","CONE","206","CONE 206","001","ENGINEERING ECONOMICS","","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Li, Haorong (28145086) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","48","","","99","0","56","","","","","","","","","","",""
,"3221","13300","Fall 2025","1258","UNO-CONSYS","CONE","206","CONE 206","002","ENGINEERING ECONOMICS","","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Kopocis, Kelli (55985855) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","50","","","0","0","56","","","","","","","","","","",""
"CONE 211 - CONSTRUCTION BUSINESS METHODS"
,"4712","17305","Fall 2025","1258","UNO-CONSYS","CONE","211","CONE 211","001","CONSTRUCTION BUSINESS METHODS","","Lecture","","T 5:30pm-8:10pm","T 5:30pm-8:10pm","Felton, Ryan (40964610) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","50","","","0","0","50","","","","","","","","","","",""
"CONE 221 - GEOMETRIC CONTROL SYSTEMS"
,"770","12529","Fall 2025","1258","UNO-CONSYS","CONE","221","CONE 221","001","GEOMETRIC CONTROL SYSTEMS","","Lecture","Lecture","MW 4:30pm-5:20pm","MW 4:30pm-5:20pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","50","","","99","0","50","","","","","","","","","","Students enrolling in CONE 2210-001 must enroll in either CONE 221-002, CONE 221-003, or CONE221-004.",""
,"771","12530","Fall 2025","1258","UNO-CONSYS","CONE","221","CONE 221","002","GEOMETRIC CONTROL SYSTEMS","","Laboratory","Laboratory","M 1:30pm-4:10pm","M 1:30pm-4:10pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","18","","","99","0","18","","","","","","","","CONE 221-001","","",""
,"772","13018","Fall 2025","1258","UNO-CONSYS","CONE","221","CONE 221","003","GEOMETRIC CONTROL SYSTEMS","","Laboratory","Laboratory","W 1:30pm-4:10pm","W 1:30pm-4:10pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","18","","","99","0","18","","","","","","","","CONE 221-001","","",""
,"773","16072","Fall 2025","1258","UNO-CONSYS","CONE","221","CONE 221","004","GEOMETRIC CONTROL SYSTEMS","","Laboratory","Laboratory","F 1:30pm-4:10pm","F 1:30pm-4:10pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 117","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","99","0","14","","","","","","","","CONE 221-001","","",""
"CONE 319 - CONSTRUCTION METHODS AND EQUIPMENT"
,"472","12974","Fall 2025","1258","UNO-CONSYS","CONE","319","CONE 319","001","CONSTRUCTION METHODS AND EQUIPMENT","","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","9","","","0","0","15","See CNST 241-001","0","45","","99","0","45","","","",""
"CONE 378 - CONSTRUCTION ESTIMATING I"
,"471","12975","Fall 2025","1258","UNO-CONSYS","CONE","378","CONE 378","001","CONSTRUCTION ESTIMATING I","","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","8","","","0","0","10","See CNST 378-001","0","40","","0","0","40","","","",""
"CONE 476 - PROJECT BUDGETS AND CONTROLS"
,"474","13140","Fall 2025","1258","UNO-CONSYS","CONE","476","CONE 476","001","PROJECT BUDGETS AND CONTROLS","","Lecture","","M 6pm-8:45pm","M 6pm-8:45pm","Hoodjer, John (20353042) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","0","0","15","See CNST 476-001","0","50","","0","0","56","","","",""
"CONE 485 - CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS"
,"473","12506","Fall 2025","1258","UNO-CONSYS","CONE","485","CONE 485","001","CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS","","Lecture","","TR 4pm-5:15pm","TR 4pm-5:15pm","Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","8","","","99","0","48","See CNST 485-001","0","65","","99","0","6560","","","",""
"CONE 876 - PROJECT BUDGETS AND CONTROLS"
,"4111","15694","Fall 2025","1258","UNO-CONSYS","CONE","876","CONE 876","001","PROJECT BUDGETS AND CONTROLS","","Lecture","","M 6pm-8:45pm","M 6pm-8:45pm","Hoodjer, John (20353042) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","10","","","0","0","10","See CNST 476-001","0","50","","0","0","56","","","",""
"CONE 885 - CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS"
,"774","12945","Fall 2025","1258","UNO-CONSYS","CONE","885","CONE 885","001","CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS","","Lecture","","TR 4pm-5:15pm","TR 4pm-5:15pm","Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","5","","","0","0","5","See CNST 485-001","0","65","","99","0","6560","","","",""
"CONE 999 - DOCTORAL DISSERTATION"
,"775","13709","Fall 2025","1258","UNO-CONSYS","CONE","999","CONE 999","001","DOCTORAL DISSERTATION","","Independent Study","","Does Not Meet","Does Not Meet","Maguire, Marc (67463304) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","24","Graded","","","","0","5","","","0","0","5","","","","","","","","","","",""
,"776","12831","Fall 2025","1258","UNO-CONSYS","CONE","999","CONE 999","002","DOCTORAL DISSERTATION","","Independent Study","","Does Not Meet","Does Not Meet","Morcous, George (73182764) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","24","Graded","","","","0","5","","","0","0","5","","","","","","","","","","",""
"CSCI 1200 - COMPUTER SCIENCE PRINCIPLES"
,"3178","14999","Fall 2025","1258","UNO-CSCI","CSCI","1200","CSCI 1200","001","COMPUTER SCIENCE PRINCIPLES","","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Elson, Joel (14144622) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","University General Education: Natural/Physical Sci General Education lecture; MavEd: MavEd Natural Science Lecture","University General Education: Natural/Physical Sci General Education lecture","","0","35","","","0","0","35","","","","","","","","","","Not intended for students who have completed CIST 1400 and CSCI 1620.",""
,"3179","15072","Fall 2025","1258","UNO-CSCI","CSCI","1200","CSCI 1200","002","COMPUTER SCIENCE PRINCIPLES","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Thompson Learning Community: Thompson Learning Community Scholars Only; University General Education: Natural/Physical Sci General Education lecture; MavEd: MavEd Natural Science Lecture","University General Education: Natural/Physical Sci General Education lecture","","0","35","","","35","0","35","","","","","","","","","","Not intended for students who have completed CIST 1400 and CSCI 1620.","Reserved for students in the Thompson Learning Community"
,"4670","17129","Fall 2025","1258","UNO-CSCI","CSCI","1200","CSCI 1200","003","COMPUTER SCIENCE PRINCIPLES","","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Staff [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","University General Education: Natural/Physical Sci General Education lecture","University General Education: Natural/Physical Sci General Education lecture","","0","30","","","99","0","30","","","","","","","","","","",""
,"3186","13457","Fall 2025","1258","UNO-CSCI","CSCI","1200","CSCI 1200","850","COMPUTER SCIENCE PRINCIPLES","","Lecture","","Does Not Meet","Does Not Meet","Owora, Agatha (72315145) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online; University General Education: Natural/Physical Sci General Education lecture; MavEd: MavEd Natural Science Lecture","University General Education: Natural/Physical Sci General Education lecture","","0","35","","","99","0","40","","","","","","","","","","Not intended for students who have completed CIST 1400 and CSCI 1620.",""
,"3187","14268","Fall 2025","1258","UNO-CSCI","CSCI","1200","CSCI 1200","851","COMPUTER SCIENCE PRINCIPLES","","Lecture","","Does Not Meet","Does Not Meet","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online; University General Education: Natural/Physical Sci General Education lecture; MavEd: MavEd Natural Science Lecture","University General Education: Natural/Physical Sci General Education lecture","","0","35","","","99","0","35","","","","","","","","","","Not intended for students who have completed CIST 1400 and CSCI 1620.",""
"CSCI 1204 - COMPUTER SCIENCE PRINCIPLES LABORATORY"
,"3296","13459","Fall 2025","1258","UNO-CSCI","CSCI","1204","CSCI 1204","001","COMPUTER SCIENCE PRINCIPLES LABORATORY","","Laboratory","","F 12pm-1:15pm","F 12pm-1:15pm","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Graded","University General Education: Natural/Physical Sci General Education lab course; MavEd: MavEd Natural Science Lab","University General Education: Natural/Physical Sci General Education lab course","","0","35","","","99","0","35","","","","","","","","","","",""
,"3299","13460","Fall 2025","1258","UNO-CSCI","CSCI","1204","CSCI 1204","850","COMPUTER SCIENCE PRINCIPLES LABORATORY","","Laboratory","","Does Not Meet","Does Not Meet","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","1","1","Graded","Fully Online: Fully Online; University General Education: Natural/Physical Sci General Education lab course; MavEd: MavEd Natural Science Lab","University General Education: Natural/Physical Sci General Education lab course","","0","35","","","99","0","35","","","","","","","","","","",""
,"3300","13461","Fall 2025","1258","UNO-CSCI","CSCI","1204","CSCI 1204","851","COMPUTER SCIENCE PRINCIPLES LABORATORY","","Laboratory","","Does Not Meet","Does Not Meet","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","1","1","Graded","Fully Online: Fully Online; University General Education: Natural/Physical Sci General Education lab course; MavEd: MavEd Natural Science Lab","University General Education: Natural/Physical Sci General Education lab course","","0","35","","","99","0","35","","","","","","","","","","",""
"CSCI 1620 - INTRODUCTION TO COMPUTER SCIENCE II"
,"815","13462","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","001","INTRODUCTION TO COMPUTER SCIENCE II","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Owora, Agatha (72315145) [Primary Instructor, Post, Print]","Mammel Hall 113","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","0","60","","","99","0","60","","","","","","","","","","",""
,"816","13464","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","002","INTRODUCTION TO COMPUTER SCIENCE II","","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Reestman, Kyle (19654542) [Primary Instructor, Post, Print]","Mammel Hall 113","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","0","60","","","99","0","60","","","","","","","","","","",""
,"817","15476","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","003","INTRODUCTION TO COMPUTER SCIENCE II","","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Mammel Hall 113","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","60","","","99","0","60","","","","","","","","","","",""
,"818","13463","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","850","INTRODUCTION TO COMPUTER SCIENCE II","","Lecture","","Does Not Meet","Does Not Meet","Owora, Agatha (72315145) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","60","","","99","0","60","","","","","","","","","","",""
,"819","14500","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","851","INTRODUCTION TO COMPUTER SCIENCE II","","Laboratory","Laboratory","Does Not Meet","Does Not Meet","Owora, Agatha (72315145) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","60","","","99","0","60","","","","","","","","CSCI 1620-001","","",""
,"820","14501","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","852","INTRODUCTION TO COMPUTER SCIENCE II","","Laboratory","Laboratory","Does Not Meet","Does Not Meet","Reestman, Kyle (19654542) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","60","","","99","0","60","","","","","","","","CSCI 1620-002","","",""
,"821","14502","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","853","INTRODUCTION TO COMPUTER SCIENCE II","","Laboratory","Laboratory","Does Not Meet","Does Not Meet","Owora, Agatha (72315145) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","60","","","99","0","60","","","","","","","","CSCI 1620-850","","",""
,"822","15477","Fall 2025","1258","UNO-CSCI","CSCI","1620","CSCI 1620","854","INTRODUCTION TO COMPUTER SCIENCE II","","Laboratory","","Does Not Meet","Does Not Meet","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Fully Online: Fully Online","","","0","60","","","99","0","60","","","","","","","","CSCI 1620-003","","",""
"CSCI 2030 - MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE"
,"3020","13467","Fall 2025","1258","UNO-CSCI","CSCI","2030","CSCI 2030","001","MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE","","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Solheim, Jeff (84334019) [Primary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","60","","","99","0","65","","","","","","","","","","",""
,"3021","13466","Fall 2025","1258","UNO-CSCI","CSCI","2030","CSCI 2030","002","MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE","","Lecture","","TR 6pm-7:15pm","TR 6pm-7:15pm","Mordeson, Mark (67908431) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","40","","","","","","","","","","",""
,"3022","14988","Fall 2025","1258","UNO-CSCI","CSCI","2030","CSCI 2030","003","MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE","","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Mordeson, Mark (67908431) [Primary Instructor, Post, Print]","Peter Kiewit Institute 274","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","30","","","","","","","","","","",""
"CSCI 2040 - INTRODUCTION TO MATHEMATICAL PROOFS"
,"4026","15410","Fall 2025","1258","UNO-CSCI","CSCI","2040","CSCI 2040","001","INTRODUCTION TO MATHEMATICAL PROOFS","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Subramaniam, Mahadevan (70248267) [Primary Instructor, Post, Print]","Peter Kiewit Institute 278","Active","UNO 4 Weeks","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","0","30","","","5","0","30","","","","","","","","","","Class meets August 26 - September 25",""
,"4027","15411","Fall 2025","1258","UNO-CSCI","CSCI","2040","CSCI 2040","002","INTRODUCTION TO MATHEMATICAL PROOFS","","Lecture","","TR 3pm-4:15pm","TR 3pm-4:15pm","Subramaniam, Mahadevan (70248267) [Primary Instructor, Post, Print]","Peter Kiewit Institute 278","Active","UNO 4 Weeks","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Graded","","","","0","30","","","5","0","25","","","","","","","","","","Class meets September 30 - November 6",""
,"4028","15412","Fall 2025","1258","UNO-CSCI","CSCI","2040","CSCI 2040","850","INTRODUCTION TO MATHEMATICAL PROOFS","","Lecture","","Does Not Meet","Does Not Meet","Subramaniam, Mahadevan (70248267) [Primary Instructor, Post, Print]","Fully Online","Active","UNO 4 Weeks","UNO-IS","Totally Online","","Yes","No Special Consent Required","1","1","Graded","Fully Online: Fully Online","","","0","30","","","5","0","30","","","","","","","","","","Class meets November 11 - December 18",""
"CSCI 2240 - INTRODUCTION TO C PROGRAMMING"
,"823","13468","Fall 2025","1258","UNO-CSCI","CSCI","2240","CSCI 2240","001","INTRODUCTION TO C PROGRAMMING","","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","O'Malley, Sean (80101784) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
,"824","13469","Fall 2025","1258","UNO-CSCI","CSCI","2240","CSCI 2240","002","INTRODUCTION TO C PROGRAMMING","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Santos, Jose (16377095) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
,"825","13470","Fall 2025","1258","UNO-CSCI","CSCI","2240","CSCI 2240","851","INTRODUCTION TO C PROGRAMMING","","Lecture","","Does Not Meet","Does Not Meet","Ashokan, Ash (58692766) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Fully Online: Fully Online","","","0","35","","","99","0","35","","","","","","","","","","",""
"CSCI 2410 - INTRODUCTION TO DATA ANALYTICS USING PYTHON"
,"3765","14196","Fall 2025","1258","UNO-CSCI","CSCI","2410","CSCI 2410","850","INTRODUCTION TO DATA ANALYTICS USING PYTHON","","Lecture","","Does Not Meet","Does Not Meet","Zhu, Qiuming (22746848) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","40","","","40","0","40","","","","","","","","","","",""
"CSCI 2510 - INTRODUCTION TO GAME PROGRAMMING"
,"4678","17151","Fall 2025","1258","UNO-CSCI","CSCI","2510","CSCI 2510","001","INTRODUCTION TO GAME PROGRAMMING","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Ricks, Brian (17816140) [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
"CSCI 2620 - 2D GRAPHICS: IMAGE PROCESSING"
,"3730","14156","Fall 2025","1258","UNO-CSCI","CSCI","2620","CSCI 2620","001","2D GRAPHICS: IMAGE PROCESSING","","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Ricks, Brian (17816140) [Primary Instructor, Post, Print]","Peter Kiewit Institute 278","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","0","30","","","99","0","30","","","","","","","","","","",""
"CSCI 2850 - PROGRAMMING ON THE INTERNET"
,"829","13471","Fall 2025","1258","UNO-CSCI","CSCI","2850","CSCI 2850","850","PROGRAMMING ON THE INTERNET","","Lecture","","Does Not Meet","Does Not Meet","Fulkerson, Robert (10509563) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","40","","","99","0","40","","","","","","","","","","",""
"CSCI 3100 - APPLIED COMBINATORICS"
,"830","13679","Fall 2025","1258","UNO-CSCI","CSCI","3100","CSCI 3100","001","APPLIED COMBINATORICS","","Lecture","","TR 5:30pm-6:45pm","TR 5:30pm-6:45pm","Velcsov, Dora (32794380) [Primary Instructor, Post, Print]","Durham Science Center 254","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","15","","","0","0","15","Also CSCI 8105-001, MATH 3100-001, MATH 8105-001","0","58","","99","0","58","","","",""
"CSCI 3320 - DATA STRUCTURES"
,"831","13474","Fall 2025","1258","UNO-CSCI","CSCI","3320","CSCI 3320","001","DATA STRUCTURES","","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Youn, Jong-Hoon (52249412) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
,"832","13472","Fall 2025","1258","UNO-CSCI","CSCI","3320","CSCI 3320","002","DATA STRUCTURES","","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Zhong, Xin (11981844) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
,"833","14110","Fall 2025","1258","UNO-CSCI","CSCI","3320","CSCI 3320","003","DATA STRUCTURES","","Lecture","","TR 4:30pm-5:45pm","TR 4:30pm-5:45pm","Oh, Kwangsung (90846155) [Primary Instructor, Post, Print]","Peter Kiewit Institute 263","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
,"834","13473","Fall 2025","1258","UNO-CSCI","CSCI","3320","CSCI 3320","850","DATA STRUCTURES","","Lecture","","Does Not Meet","Does Not Meet","Ali, Hesham (76789688) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Fully Online: Fully Online","","","0","35","","","99","0","35","","","","","","","","","","",""
"CSCI 3450 - NATURAL LANGUAGE PROCESSING"
,"4538","16822","Fall 2025","1258","UNO-CSCI","CSCI","3450","CSCI 3450","001","NATURAL LANGUAGE PROCESSING","","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Lierler, Yuliya (42486005) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","30","","","0","0","30","","","","","","","","","","",""
"CSCI 3510 - ADVANCED GAME PROGRAMMING"
,"2932","13629","Fall 2025","1258","UNO-CSCI","CSCI","3510","CSCI 3510","850","ADVANCED GAME PROGRAMMING","","Lecture","","Does Not Meet","Does Not Meet","Winter, Victor (77537414) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Fully Online: Fully Online","","","0","30","","","99","0","30","","","","","","","","","","",""
"CSCI 3550 - COMMUNICATION NETWORKS"
,"855","15418","Fall 2025","1258","UNO-CSCI","CSCI","3550","CSCI 3550","001","COMMUNICATION NETWORKS","","Lecture/Lab (combo)","","MW 10:30am-11:45am","MW 10:30am-11:45am","Gadiraju, Divija Swetha (85046504) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
,"856","15419","Fall 2025","1258","UNO-CSCI","CSCI","3550","CSCI 3550","850","COMMUNICATION NETWORKS","","Lecture/Lab (combo)","","Does Not Meet","Does Not Meet","Santos, Jose (16377095) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Fully Online: Fully Online","","","0","35","","","99","0","35","","","","","","","","","","",""
,"857","15636","Fall 2025","1258","UNO-CSCI","CSCI","3550","CSCI 3550","851","COMMUNICATION NETWORKS","","Lecture/Lab (combo)","","Does Not Meet","Does Not Meet","Gadiraju, Divija Swetha (85046504) [Primary Instructor, Post, Print]","Fully Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Fully Online: Fully Online","","","0","35","","","99","0","35","","","","","","","","","","",""
"CSCI 3660 - THEORY OF COMPUTATION"
,"836","13797","Fall 2025","1258","UNO-CSCI","CSCI","3660","CSCI 3660","001","THEORY OF COMPUTATION","","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Solheim, Jeff (84334019) [Primary Instructor, Post, Print]","Room Assignment Pending","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","35","","","99","0","35","","","","","","","","","","",""
