
,"Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Rm Cap Request","Cross-listings","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Rm Cap Request","Link To","Comments","Notes#1"
,"Fall 2022","1228","UNO-CIVE","CIVE","891","CIVE 891","002","SPECIAL TOPICS IN CIVIL ENGINEERING","Lecture","ADV MATERIALS OF CONSTRUCTION","TR 12pm-1:15pm","TR 12pm-1:15pm","Hu, Jiong (57638573) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","8","5","","","0","5","See CIVE 491-002","35","","0","35","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","891","CIVE 891","003","SPECIAL TOPICS IN CIVIL ENGINEERING","Lecture","GEOENVIRONMENTAL ENGINEERING","TR 4:30pm-5:45pm","TR 4:30pm-5:45pm","Eun, Jongwan (15497201) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","4","30","","","0","30","Also CIVE 891-822","30","","0","30","","","Taught by closed circuit TV and discussion"
,"Fall 2022","1228","UNO-CIVE","CIVE","891","CIVE 891","821","SPECIAL TOPICS IN CIVIL ENGINEERING","Lecture","ADV MATERIALS OF CONSTRUCTION","TR 12pm-1:15pm","TR 12pm-1:15pm","Hu, Jiong (57638573) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Remote Learning: Remote Learning","","","0","0","","","0","5","See CIVE 491-002","35","","0","35","","","Taught by closed circuit TV and discussion"
,"Fall 2022","1228","UNO-CIVE","CIVE","891","CIVE 891","822","SPECIAL TOPICS IN CIVIL ENGINEERING","Lecture","GEOENVIRONMENTAL ENGINEERING","TR 4:30pm-5:45pm","TR 4:30pm-5:45pm","Eun, Jongwan (15497201) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Remote Learning: Remote Learning","","","0","0","","","0","0","See CIVE 891-003","30","","0","30","","","Taught by closed circuit TV and discussion"
"CIVE 948 - BLAST-RESISTANT STRUCTURAL DESIGN"
,"Fall 2022","1228","UNO-CIVE","CIVE","948","CIVE 948","001","BLAST-RESISTANT STRUCTURAL DESIGN","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Tuan, Christopher (93567104) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","Distance Education","","Yes","No Special Consent Required","3","3","Graded","","","","7","10","","","0","10","See CIVE 948-820","30","","0","30","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","948","CIVE 948","820","BLAST-RESISTANT STRUCTURAL DESIGN","Lecture","","MW 4:30pm-5:45pm","MW 4:30pm-5:45pm","Tuan, Christopher (93567104) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","Distance Education","","Yes","No Special Consent Required","3","3","Graded","Remote Learning: Remote Learning","","","0","20","","","0","20","Also CIVE 948-001","30","","0","30","","","Taught by closed circuit TV and discussion."
"CIVE 990T - CIVIL ENGINEERING SEMINAR IN TRANSPORTATION ENGINEERING"
,"Fall 2022","1228","UNO-CIVE","CIVE","990T","CIVE 990T","001","CIVIL ENGINEERING SEMINAR IN TRANSPORTATION ENGINEERING","Seminar","","F 11am-11:50am","F 11am-11:50am","Khattak, Aemal (20587036) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","","","","0","15","","","0","15","Also CIVE 990T-820","15","","0","15","","",""
,"Fall 2022","1228","UNO-CIVE","CIVE","990T","CIVE 990T","820","CIVIL ENGINEERING SEMINAR IN TRANSPORTATION ENGINEERING","Seminar","","F 11am-11:50am","F 11am-11:50am","Khattak, Aemal (20587036) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","6","Graded","Remote Learning: Remote Learning","","","0","0","","","0","15","See CIVE 990T-001","15","","0","15","","",""
"CNST 131 - INTRODUCTION TO THE CONSTRUCTION INDUSTRY"
,"Fall 2022","1228","UNO-CONSYS","CNST","131","CNST 131","001","INTRODUCTION TO THE CONSTRUCTION INDUSTRY","Lecture","","F 3:30pm-4:20pm","F 3:30pm-4:20pm","Lather, Jennifer (94425914) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","Experiential Learning: Includes Experiential Learning Component","","","39","40","","","0","40","Also CONE 103-001","55","","0","55","","PKI 164",""
"CNST 225 - INTRODUCTION TO BUILDING INFORMATION MODELING"
,"Fall 2022","1228","UNO-CONSYS","CNST","225","CNST 225","001","INTRODUCTION TO BUILDING INFORMATION MODELING","Lecture","Lecture","TR 12pm-1:15pm","TR 12pm-1:15pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","12","48","","","0","48","","","","","","","PKI 248",""
,"Fall 2022","1228","UNO-CONSYS","CNST","225","CNST 225","002","INTRODUCTION TO BUILDING INFORMATION MODELING","Laboratory","","F 12:15pm-2:45pm","F 12:15pm-2:45pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","12","24","","","0","24","","","","","","CNST 225-001","PKI 248",""
,"Fall 2022","1228","UNO-CONSYS","CNST","225","CNST 225","003","INTRODUCTION TO BUILDING INFORMATION MODELING","Laboratory","","F 2:50pm-5:25pm","F 2:50pm-5:25pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","0","24","","","0","24","","","","","","CNST 225-001","PKI 248",""
"CNST 241 - HORIZONTAL CONSTRUCTION"
,"Fall 2022","1228","UNO-CONSYS","CNST","241","CNST 241","001","HORIZONTAL CONSTRUCTION","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","41","38","","","99","45","Also CONE 319-001","45","","99","45","","PKI 155",""
"CNST 251 - CONSTRUCTION MATERIALS AND SPECIFICATIONS"
,"Fall 2022","1228","UNO-CONSYS","CNST","251","CNST 251","001","CONSTRUCTION MATERIALS AND SPECIFICATIONS","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Schwer, Avery (16707969) [Primary Instructor, Post, Print]","Peter Kiewit Institute 263","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","35","","","0","35","","","","","","","PKI 263",""
"CNST 252 - CONSTRUCTION MATERIALS AND TESTING"
,"Fall 2022","1228","UNO-CONSYS","CNST","252","CNST 252","001","CONSTRUCTION MATERIALS AND TESTING","Lecture","","TR 1:30pm-2:20pm","TR 1:30pm-2:20pm","Schwer, Avery (16707969) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","36","36","","","0","36","","","","","","","PKI 153",""
,"Fall 2022","1228","UNO-CONSYS","CNST","252","CNST 252","002","CONSTRUCTION MATERIALS AND TESTING","Laboratory","","T 2:30pm-5:10pm","T 2:30pm-5:10pm","Schwer, Avery (16707969) [Primary Instructor, Post, Print]","Peter Kiewit Institute 123","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","18","18","","","0","18","","","","","","Any","PKI 123",""
,"Fall 2022","1228","UNO-CONSYS","CNST","252","CNST 252","003","CONSTRUCTION MATERIALS AND TESTING","Laboratory","","R 2:30pm-5:10pm","R 2:30pm-5:10pm","Schwer, Avery (16707969) [Primary Instructor, Post, Print]","Peter Kiewit Institute 123","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","18","18","","","0","18","","","","","","Any","PKI 123",""
"CNST 306 - ELECTRICAL SYSTEMS"
,"Fall 2022","1228","UNO-CONSYS","CNST","306","CNST 306","001","ELECTRICAL SYSTEMS","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Eble, Michelle (96256018) [Primary Instructor, Post, Print]","Peter Kiewit Institute 130","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","33","40","","","0","40","","","","","","","PKI 130",""
"CNST 331 - STRUCTURAL MECHANICS"
,"Fall 2022","1228","UNO-CONSYS","CNST","331","CNST 331","001","STRUCTURAL MECHANICS","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Maguire, Marcus (67463304) [Primary Instructor, Post, Print]","Peter Kiewit Institute 164","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","30","40","","","0","40","","","","","","","PKI 160",""
"CNST 378 - CONSTRUCTION ESTIMATING I"
,"Fall 2022","1228","UNO-CONSYS","CNST","378","CNST 378","001","CONSTRUCTION ESTIMATING I","Lecture","","M 5:15pm-6:30pm; R 5:45pm-7pm","M 5:15pm-6:30pm; R 5:45pm-7pm","Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]; Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","23","31","","","0","36","Also CONE 378-001","39","","0","36","","PKI 248",""
"CNST 420 - PROFESSIONAL PRACTICE AND ETHICS"
,"Fall 2022","1228","UNO-CONSYS","CNST","420","CNST 420","001","PROFESSIONAL PRACTICE AND ETHICS","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Gerhardt, Bruce (44941162) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","33","32","","","0","42","Also CNST 820-001","32","","0","42","","",""
"CNST 442 - HEALTHCARE DESIGN AND CONSTRUCTION"
,"Fall 2022","1228","UNO-CONSYS","CNST","442","CNST 442","001","HEALTHCARE DESIGN AND CONSTRUCTION","Lecture","","M 4:30pm-7pm","M 4:30pm-7pm","Sawall, Ryan (30866046) [Primary Instructor, Post, Print]; Montgomery, Kristopher (86433933) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","5","18","","","0","18","See AREN 4420-001","54","","0","54","","",""
"CNST 444 - CONSTRUCTION SITE SAFETY MANAGEMENT"
,"Fall 2022","1228","UNO-CONSYS","CNST","444","CNST 444","001","CONSTRUCTION SITE SAFETY MANAGEMENT","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Herstein, Kelli (55985855) [Primary Instructor, Post, Print]","Peter Kiewit Institute 274","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","Experiential Learning: Includes Experiential Learning Component","","","29","35","","","0","35","Also CNST 844-001","40","","0","40","","PKI 274",""
"CNST 476 - PROJECT BUDGETS AND CONTROLS"
,"Fall 2022","1228","UNO-CONSYS","CNST","476","CNST 476","001","PROJECT BUDGETS AND CONTROLS","Lecture","","W 6pm-8:45pm","W 6pm-8:45pm","Hoodjer, John (20353042) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","30","40","","","0","56","Also CONE 476-001","50","","0","56","","",""
"CNST 485 - CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS"
,"Fall 2022","1228","UNO-CONSYS","CNST","485","CNST 485","001","CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","45","","","99","48","Also CONE 485-001, CNST 885-001, CONE 885-001","36","","99","36","","PKI 248",""
"CNST 820 - PROFESSIONAL PRACTICE AND ETHICS"
,"Fall 2022","1228","UNO-CONSYS","CNST","820","CNST 820","001","PROFESSIONAL PRACTICE AND ETHICS","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Gerhardt, Bruce (44941162) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","4","","","0","4","See CNST 420-001","32","","0","42","","",""
"CNST 844 - CONSTRUCTION SITE SAFETY MANAGEMENT"
,"Fall 2022","1228","UNO-CONSYS","CNST","844","CNST 844","001","CONSTRUCTION SITE SAFETY MANAGEMENT","Lecture","","TR 10:30am-11:45am","TR 10:30am-11:45am","Herstein, Kelli (55985855) [Primary Instructor, Post, Print]","Peter Kiewit Institute 274","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","5","","","0","5","See CNST 444-001","40","","0","40","","",""
"CNST 885 - CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS"
,"Fall 2022","1228","UNO-CONSYS","CNST","885","CNST 885","001","CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","3","1","","","0","1","See CNST 485-001","36","","99","36","","",""
"CNST 898 - SPECIAL TOPICS IN CONSTRUCTION MANAGEMENT"
,"Fall 2022","1228","UNO-CONSYS","CNST","898","CNST 898","002","SPECIAL TOPICS IN CONSTRUCTION MANAGEMENT","Independent Study","","W 2:30pm-5:10pm","W 2:30pm-5:10pm","Kim, Kyungki (19821020) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","0","20","","","0","20","","","","","","","Course title: Robotics Technologies in Construction
STC 202N (mostly remote)
W 2:30PM-5:10PM",""
,"Fall 2022","1228","UNO-CONSYS","CNST","898","CNST 898","003","SPECIAL TOPICS IN CONSTRUCTION MANAGEMENT","Independent Study","","W 6pm-8:40pm","W 6pm-8:40pm","Hoodjer, John (20353042) [Primary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","Department Consent Required","1","6","Graded","","","","1","30","","","0","30","","","","","","","",""
"CONE 103 - INTRODUCTION TO CONSTRUCTION ENGINEERING"
,"Fall 2022","1228","UNO-CONSYS","CONE","103","CONE 103","001","INTRODUCTION TO CONSTRUCTION ENGINEERING","Lecture","","F 3:30pm-4:20pm","F 3:30pm-4:20pm","Lather, Jennifer (94425914) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","1","1","Graded","Experiential Learning: Includes Experiential Learning Component","","","14","15","","","0","15","See CNST 131-001","55","","0","55","","",""
"CONE 206 - ENGINEERING ECONOMICS"
,"Fall 2022","1228","UNO-CONSYS","CONE","206","CONE 206","001","ENGINEERING ECONOMICS","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Herstein, Kelli (55985855) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","28","50","","","99","56","","","","","","","PKI 252",""
,"Fall 2022","1228","UNO-CONSYS","CONE","206","CONE 206","002","ENGINEERING ECONOMICS","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Herstein, Kelli (55985855) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","50","50","","","0","56","","","","","","","PKI 252",""
"CONE 221 - GEOMETRIC CONTROL SYSTEMS"
,"Fall 2022","1228","UNO-CONSYS","CONE","221","CONE 221","001","GEOMETRIC CONTROL SYSTEMS","Lecture","","MW 1:30pm-2:20pm","MW 1:30pm-2:20pm","Ho, Chun-Hsing (47077602) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","35","","","99","36","","","","","","","PKI 248","Students enrolling in CONE 2210-001 must enroll in either CONE 2210-002 or CONE 2210-003."
,"Fall 2022","1228","UNO-CONSYS","CONE","221","CONE 221","002","GEOMETRIC CONTROL SYSTEMS","Laboratory","Laboratory","M 2:30pm-5:10pm","M 2:30pm-5:10pm","Ho, Chun-Hsing (47077602) [Primary Instructor, Post, Print]","Peter Kiewit Institute 140","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","18","18","","","99","18","","","","","","CONE 221-001","PKI 140",""
,"Fall 2022","1228","UNO-CONSYS","CONE","221","CONE 221","003","GEOMETRIC CONTROL SYSTEMS","Laboratory","Laboratory","W 2:30pm-5:10pm","W 2:30pm-5:10pm","Ho, Chun-Hsing (47077602) [Primary Instructor, Post, Print]","Peter Kiewit Institute 140","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","17","18","","","99","18","","","","","","CONE 221-001","PKI 140",""
"CONE 319 - CONSTRUCTION METHODS AND EQUIPMENT"
,"Fall 2022","1228","UNO-CONSYS","CONE","319","CONE 319","001","CONSTRUCTION METHODS AND EQUIPMENT","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","9","","","0","15","See CNST 241-001","45","","99","45","","",""
"CONE 378 - CONSTRUCTION ESTIMATING I"
,"Fall 2022","1228","UNO-CONSYS","CONE","378","CONE 378","001","CONSTRUCTION ESTIMATING I","Lecture","","M 5:15pm-6:30pm; R 5:45pm-7pm","M 5:15pm-6:30pm; R 5:45pm-7pm","Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]; Cuddigan, Patrick (33623004) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","5","8","","","0","10","See CNST 378-001","39","","0","36","","",""
"CONE 476 - PROJECT BUDGETS AND CONTROLS"
,"Fall 2022","1228","UNO-CONSYS","CONE","476","CONE 476","001","PROJECT BUDGETS AND CONTROLS","Lecture","","W 6pm-8:45pm","W 6pm-8:45pm","Hoodjer, John (20353042) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","1","10","","","0","15","See CNST 476-001","50","","0","56","","",""
"CONE 485 - CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS"
,"Fall 2022","1228","UNO-CONSYS","CONE","485","CONE 485","001","CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","2","8","","","99","48","See CNST 485-001","36","","99","36","","",""
"CONE 885 - CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS"
,"Fall 2022","1228","UNO-CONSYS","CONE","885","CONE 885","001","CONSTRUCTION PLANNING, SCHEDULING, AND CONTROLS","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Kreiling, Brandon (22589986) [Primary Instructor, Post, Print]","Peter Kiewit Institute 248","Active","Regular Academic Session","UNO Engineering","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","3","5","","","0","5","See CNST 485-001","36","","99","36","","",""
"CSCI 1200 - COMPUTER SCIENCE PRINCIPLES"
,"Fall 2022","1228","UNO-CSCI","CSCI","1200","CSCI 1200","860","COMPUTER SCIENCE PRINCIPLES","Lecture","","R 12pm-2:40pm","R 12pm-2:40pm; Does Not Meet","Ashokan, Ashwathy (58692766) [Primary Instructor, Post, Print]; Ashokan, Ashwathy (58692766) [Primary Instructor, Post, Print]; Crichton, Dusten (44625899) [Secondary Instructor, Post, No Print]; Crichton, Dusten (44625899) [Secondary Instructor, Post, Print]","Peter Kiewit Institute 278; Partially Online","Active","Regular Academic Session","UNO-IS","Partially Online","","Yes","No Special Consent Required","3","3","Graded","Partially Online: Partially Online; Thompson Learning Community: Thompson Learning Community Scholars Only; University General Education: Natural/Physical Sci General Education lecture","University General Education: Natural/Physical Sci General Education lecture","","17","25","","","0","30","","","","","","","",""
"CSCI 1204 - COMPUTER SCIENCE PRINCIPLES LABORATORY"
,"Fall 2022","1228","UNO-CSCI","CSCI","1204","CSCI 1204","001","COMPUTER SCIENCE PRINCIPLES LABORATORY","Laboratory","","F 12pm-1:15pm","F 12pm-1:15pm","Ashokan, Ashwathy (58692766) [Primary Instructor, Post, Print]","Peter Kiewit Institute 278","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","1","Graded","University General Education: Natural/Physical Sci General Education lab course","University General Education: Natural/Physical Sci General Education lab course","","12","35","","","99","35","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
"CSCI 2030 - MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE"
,"Fall 2022","1228","UNO-CSCI","CSCI","2030","CSCI 2030","001","MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Short, Ada-Rhodes (29973226) [Primary Instructor, Post, Print]","Peter Kiewit Institute 160","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","31","31","","","99","40","","","","","","","",""
"CSCI 2240 - INTRODUCTION TO C PROGRAMMING"
,"Fall 2022","1228","UNO-CSCI","CSCI","2240","CSCI 2240","001","INTRODUCTION TO C PROGRAMMING","Lecture","","TR 12pm-1:15pm","TR 12pm-1:15pm","Santos, Jose (16377095) [Primary Instructor, Post, Print]","Peter Kiewit Institute 260","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","35","","","99","40","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
"CSCI 2620 - 2D GRAPHICS: IMAGE PROCESSING"
,"Fall 2022","1228","UNO-CSCI","CSCI","2620","CSCI 2620","001","2D GRAPHICS: IMAGE PROCESSING","Lecture","","MW 12pm-1:15pm","MW 12pm-1:15pm","Ricks, Brian (17816140) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","32","33","","","99","30","","","","","","","",""
"CSCI 3320 - DATA STRUCTURES"
,"Fall 2022","1228","UNO-CSCI","CSCI","3320","CSCI 3320","001","DATA STRUCTURES","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Youn, Jong-Hoon (52249412) [Primary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","30","30","","","99","30","","","","","","","",""
,"Fall 2022","1228","UNO-CSCI","CSCI","3320","CSCI 3320","002","DATA STRUCTURES","Lecture","","MW 10:30am-11:45am","MW 10:30am-11:45am","Ricks, Brian (17816140) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","35","35","","","99","30","","","","","","","",""
,"Fall 2022","1228","UNO-CSCI","CSCI","3320","CSCI 3320","003","DATA STRUCTURES","Lecture","","TR 4:30pm-5:45pm","TR 4:30pm-5:45pm","Oh, Kwangsung (90846155) [Primary Instructor, Post, Print]","Peter Kiewit Institute 256","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","18","30","","","99","30","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
"CSCI 3550 - COMMUNICATION NETWORKS"
,"Fall 2022","1228","UNO-CSCI","CSCI","3550","CSCI 3550","002","COMMUNICATION NETWORKS","Lecture","","MW 1:30pm-2:45pm","MW 1:30pm-2:45pm","Santos, Jose (16377095) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","31","31","","","99","35","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
"CSCI 3660 - THEORY OF COMPUTATION"
,"Fall 2022","1228","UNO-CSCI","CSCI","3660","CSCI 3660","001","THEORY OF COMPUTATION","Lecture","","TR 9am-10:15am","TR 9am-10:15am","Solheim, Jeffery (84334019) [Primary Instructor, Post, Print]","Peter Kiewit Institute 269","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","20","30","","","99","30","","","","","","","",""
"CSCI 4150 - GRAPH THEORY & APPLICATIONS"
,"Fall 2022","1228","UNO-CSCI","CSCI","4150","CSCI 4150","001","GRAPH THEORY & APPLICATIONS","Lecture","","MW 3pm-4:15pm","MW 3pm-4:15pm","Ali, Hesham (76789688) [Primary Instructor, Post, Print]","Peter Kiewit Institute 252","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","22","25","","","99","25","Also CSCI 8156-001, MATH 4150-001, MATH 8156-001","40","","99","40","","",""
"CSCI 4350 - COMPUTER ARCHITECTURE"
,"Fall 2022","1228","UNO-CSCI","CSCI","4350","CSCI 4350","001","COMPUTER ARCHITECTURE","Lecture","","MW 9am-10:15am","MW 9am-10:15am","Oh, Kwangsung (90846155) [Primary Instructor, Post, Print]","Peter Kiewit Institute 153","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials","","","22","30","","","99","30","","","","","","","","Students will attend once a week in-person and the other day(s) will participate remotely synchronously. Your instructor will provide more details."
"CSCI 4450 - INTRODUCTION TO ARTIFICIAL INTELLIGENCE"
